oidx;ORDEN;PARTNUMBER;CANTIDAD;N_OPERACIONES;FECHA_PROVEEDOR;deadline_work_min;work_min;slack_min;cr;n_alternativas;n_grupos_recurso;duracion_media_operacion_min;duracion_max_operacion_min;operacion_min;operacion_max;log_cantidad;log_work_min;log_deadline_work_min;slack_relativo;log_cr;ga_rank_target;nn_priority_score;escenario_objetivo_ga;modelo_prioridad
12;ORDEN_98;PARTNUMBER_93;1.0;11;2026-06-24;37440.0;876.3819750887989;36563.6180249112;42.721097722493;11;6;79.67108864443627;260.3413364188603;900020;1300020;0.6931471805599453;6.776942444970601;10.530521639636548;20.0;3.7778307710099024;0.32015470562956594;0.8020593;inicial;TorchGCN_prioridad_desde_GA
13;ORDEN_108;PARTNUMBER_102;6.0;7;2026-06-27;41760.0;1998.8246290965403;39761.17537090346;20.892278087885746;7;4;285.54637558522006;778.138026864289;1100020;3100040;1.9459101490553132;7.6008147702457585;10.639718168629964;19.892278087885746;3.0861339759182296;0.6214009454232918;0.6488036;inicial;TorchGCN_prioridad_desde_GA
14;ORDEN_116;PARTNUMBER_110;8.0;5;2026-08-08;84960.0;4058.1124725214;80901.8875274786;20.9358416197894;5;2;811.62249450428;2307.3373327180434;900010;900050;2.1972245773362196;8.308719625871456;11.349947606651318;19.9358416197894;3.0881219026894717;0.8448646325741298;0.9431385;inicial;TorchGCN_prioridad_desde_GA
15;ORDEN_124;PARTNUMBER_118;60.0;3;2026-05-23;5760.0;1438.2740229173214;4321.725977082679;4.004800134203015;3;3;479.4246743057738;978.1569965870306;1000020;1000040;4.110873864173311;7.271894114691467;8.658866349732383;3.0048001342030157;1.6103974787436606;0.47958745165449074;0.52001446;inicial;TorchGCN_prioridad_desde_GA
16;ORDEN_127;PARTNUMBER_121;14.0;4;2026-07-01;44640.0;3019.6990171407797;41620.30098285922;14.782930267754848;4;2;754.9247542851949;1495.7264957264956;900010;900040;2.70805020110221;8.013243546214971;10.706407998237976;13.782930267754848;2.7589289932200365;0.7688010313708638;0.7668841;inicial;TorchGCN_prioridad_desde_GA
17;ORDEN_129;PARTNUMBER_123;60.0;3;2026-07-23;67680.0;1436.0525439539053;66243.9474560461;47.12919473938999;3;3;478.6841813179685;797.9607669289593;1000020;1000040;4.110873864173311;7.270349450444574;11.122560769584661;20.0;3.873888952225334;0.47786850021486893;0.46462643;inicial;TorchGCN_prioridad_desde_GA
18;ORDEN_134;PARTNUMBER_128;6.0;4;2026-07-14;57600.0;5299.607843137255;52300.39215686274;10.868728725765871;4;4;1324.9019607843138;3966.666666666667;900010;900040;1.9459101490553132;8.575576780348506;10.961295207644392;9.868728725765871;2.4739071031190005;0.8921357971637301;0.88026655;inicial;TorchGCN_prioridad_desde_GA
19;ORDEN_137;PARTNUMBER_131;15.0;3;2026-07-28;72000.0;2848.1470588235297;69151.85294117648;25.279593543790078;3;3;949.3823529411766;2251.5000000000005;900010;900030;2.772588722239781;7.954774950864437;11.184435286790631;20.0;3.2687927271265638;0.7460249247958746;0.7661466;inicial;TorchGCN_prioridad_desde_GA
20;ORDEN_143;PARTNUMBER_137;2.0;3;2026-08-01;77760.0;59.29790956329709;77700.70209043671;1311.344709664608;3;3;19.765969854432363;43.97302268546903;900020;900040;1.0986122886681098;4.099297435856878;11.261395299133936;20.0;7.179570671019823;0.008165019338203695;0.07233022;inicial;TorchGCN_prioridad_desde_GA
21;ORDEN_153;PARTNUMBER_144;35.0;6;2026-10-03;142560.0;3168.7050482935297;139391.29495170648;44.989987337816146;6;5;528.1175080489215;2652.2344600582355;1400020;1800020;3.58351893845611;8.061393817840043;11.867525257270382;20.0;3.828423706227075;0.7877094972067039;0.7954495;inicial;TorchGCN_prioridad_desde_GA
22;ORDEN_174;PARTNUMBER_165;56.0;6;2026-06-30;43200.0;2946.812024814351;40253.18797518565;14.659910315359053;6;5;491.13533746905847;1218.8888888888891;900020;1300020;4.04305126783455;7.988818487644745;10.673618922112436;13.659910315359053;2.7511039635576915;0.7580575848732274;0.6225779;inicial;TorchGCN_prioridad_desde_GA
23;ORDEN_175;PARTNUMBER_166;80.0;2;2026-06-06;20160.0;3261.4382562013575;16898.561743798644;6.1813219862946704;2;2;1630.7191281006787;2980.9676679660633;800020;800030;4.394449154672439;8.090230126149597;9.911505324129712;5.1813219862946704;1.9714834867658593;0.8014611087236786;0.8009001;inicial;TorchGCN_prioridad_desde_GA
24;ORDEN_177;PARTNUMBER_168;12.0;4;2026-07-10;54720.0;598.5737556561086;54121.42624434389;91.41730569196159;4;4;149.64343891402714;221.53846153846155;950010;950040;2.5649493574615367;6.396218995517532;10.91000282698325;20.0;4.526314252149406;0.22260421143102707;0.19529095;inicial;TorchGCN_prioridad_desde_GA
25;ORDEN_180;PARTNUMBER_171;5.0;6;2026-06-03;15840.0;392.3529411764706;15447.64705882353;40.37181409295352;6;5;65.3921568627451;310.0;900020;1300020;1.791759469228055;5.974707277997762;9.670356794688852;20.0;3.7225998299579777;0.08680704770090245;0.10460451;inicial;TorchGCN_prioridad_desde_GA
26;ORDEN_182;PARTNUMBER_173;32.0;6;2026-08-08;84960.0;2875.120807713513;82084.87919228649;29.550062651998903;6;5;479.18680128558543;1214.4444444444446;800020;1200020;3.4965075614664802;7.9641977234224015;11.349947606651318;20.0;3.4193667364174294;0.7507520412548345;0.59460974;inicial;TorchGCN_prioridad_desde_GA
27;ORDEN_200;PARTNUMBER_144;35.0;6;2026-12-03;204480.0;3168.7050482935297;201311.29495170648;64.53109294919084;6;5;528.1175080489215;2652.2344600582355;1400020;1800020;3.58351893845611;8.061393817840043;12.228230340613182;20.0;4.18252473152045;0.7881392350666093;0.7934233;inicial;TorchGCN_prioridad_desde_GA
28;ORDEN_201;PARTNUMBER_188;254.0;4;2027-01-30;264960.0;7788.606391749938;257171.39360825007;34.01892285642503;4;2;1947.1515979374844;5143.782908059944;900010;900040;5.541263545158426;8.960545610213396;12.4873379243265;20.0;3.555888568429931;0.9398366996132359;0.98811424;inicial;TorchGCN_prioridad_desde_GA
29;ORDEN_209;PARTNUMBER_52;3.0;7;2026-08-01;77760.0;1336.4705882352941;76423.5294117647;58.183098591549296;7;6;190.92436974789916;1002.3529411764706;900020;1300030;1.3862943611198906;7.198535488423922;11.261395299133936;20.0;4.0806360043636305;0.4460678985818651;0.45159185;inicial;TorchGCN_prioridad_desde_GA
30;ORDEN_227;PARTNUMBER_212;8.0;4;2026-06-06;20160.0;562.8723062054677;19597.127693794533;35.8162939937587;4;3;140.71807655136695;267.6588437321122;800020;840020;2.1972245773362196;6.334827818426912;9.911505324129712;20.0;3.6059405187500086;0.2049849591749033;0.17231429;inicial;TorchGCN_prioridad_desde_GA
31;ORDEN_236;PARTNUMBER_221;122.0;5;2026-06-30;43200.0;1865.359477124183;41334.640522875816;23.15907498248073;7;5;373.07189542483667;1128.888888888889;1000020;1400020;4.812184355372417;7.531745008686359;10.673618922112436;20.0;3.184660085184666;0.5917490330898152;0.5136417;inicial;TorchGCN_prioridad_desde_GA
32;ORDEN_241;PARTNUMBER_225;10.0;7;2026-06-03;15840.0;473.72549019607845;15366.274509803921;33.437086092715234;7;6;67.6750700280112;266.6666666666667;900020;1300020;2.3978952727983707;6.162736721600506;9.670356794688852;20.0;3.5391340677545946;0.17017619252256125;0.1335144;inicial;TorchGCN_prioridad_desde_GA
33;ORDEN_242;PARTNUMBER_226;8.0;7;2026-08-06;82080.0;532.0;81548.0;154.28571428571428;7;5;76.0;268.0;900020;1300020;2.1972245773362196;6.278521424165844;11.315461843566249;20.0;5.045266738065896;0.19724967769660506;0.2001272;inicial;TorchGCN_prioridad_desde_GA
34;ORDEN_244;PARTNUMBER_228;40.0;3;2026-08-30;106560.0;573.4068399364396;105986.59316006357;185.83663915102906;3;3;191.13561331214655;271.46735247892553;1400020;1400040;3.713572066704308;6.353337925630455;11.576472870114568;20.0;5.230234647627064;0.20756338633433605;0.16962536;inicial;TorchGCN_prioridad_desde_GA
35;ORDEN_254;PARTNUMBER_228;40.0;3;2026-05-30;12960.0;573.4068399364396;12386.59316006356;22.60175341026029;3;3;191.13561331214655;271.46735247892553;1400020;1400040;3.713572066704308;6.353337925630455;9.469700127423375;20.0;3.1613210063166033;0.2079931241942415;0.18581782;inicial;TorchGCN_prioridad_desde_GA
36;ORDEN_262;PARTNUMBER_241;6.0;7;2026-07-28;72000.0;2164.762070207951;69835.23792979206;33.26000625698488;7;4;309.2517243154216;977.6542372881355;1100020;3100040;1.9459101490553132;7.680527573977829;11.184435286790631;20.0;3.533978675528324;0.6532015470562956;0.6516659;inicial;TorchGCN_prioridad_desde_GA
37;ORDEN_291;PARTNUMBER_267;15.0;3;2026-06-06;20160.0;574.2579185520362;19585.742081447963;35.10617676954716;3;2;191.41930618401207;253.84615384615387;1000020;1000040;2.772588722239781;6.354818494230618;9.911505324129712;20.0;3.5864639523521236;0.20842286205414698;0.20921612;inicial;TorchGCN_prioridad_desde_GA
38;ORDEN_292;PARTNUMBER_268;8.0;6;2026-07-18;63360.0;600.2714932126697;62759.72850678733;105.55223880597015;9;7;100.04524886877827;246.15384615384616;1000020;1400020;2.1972245773362196;6.399046568328102;11.056603809192042;20.0;4.668635370111494;0.22389342501074344;0.18066172;inicial;TorchGCN_prioridad_desde_GA
39;ORDEN_297;PARTNUMBER_273;150.0;5;2026-08-01;77760.0;1760.2957723173658;75999.70422768264;44.174394566449344;7;5;352.05915446347313;1211.111111111111;1000020;1400020;5.017279836814924;7.473805051415926;11.261395299133936;20.0;3.8105304344283155;0.5706918779544478;0.5390477;inicial;TorchGCN_prioridad_desde_GA
40;ORDEN_303;PARTNUMBER_279;5.0;5;2026-06-25;38880.0;829.4117647058824;38050.58823529412;46.87659574468085;5;4;165.8823529411765;235.29411764705884;920020;3900020;1.791759469228055;6.721921679827983;10.568260978408226;20.0;3.868626778426913;0.30296519123334764;0.35920548;inicial;TorchGCN_prioridad_desde_GA
41;ORDEN_319;PARTNUMBER_291;12.0;4;2027-02-06;272160.0;693.9231470481515;271466.07685295184;392.20481570290485;4;3;173.4807867620379;374.9043611323642;900020;1300020;2.5649493574615367;6.543801259663565;12.514149081932167;20.0;5.974330635662165;0.2599914052428019;0.1981759;inicial;TorchGCN_prioridad_desde_GA
42;ORDEN_320;PARTNUMBER_292;120.0;2;2026-05-29;11520.0;641.3260245097026;10878.673975490297;17.962782671741888;2;2;320.6630122548513;384.0361445783132;1100020;1100030;4.795790545596741;6.465096001128904;9.351926736038054;16.962782671741888;2.94247825144512;0.238504512247529;0.28173327;inicial;TorchGCN_prioridad_desde_GA
43;ORDEN_336;PARTNUMBER_144;35.0;6;2027-01-30;264960.0;3168.7050482935297;261791.29495170648;83.61775424402192;6;5;528.1175080489215;2652.2344600582355;1400020;1800020;3.58351893845611;8.061393817840043;12.4873379243265;20.0;4.438144105634878;0.7885689729265148;0.791958;inicial;TorchGCN_prioridad_desde_GA
44;ORDEN_338;PARTNUMBER_309;4.0;9;2026-08-20;96480.0;3163.809523809524;93316.19047619047;30.494882600842864;9;7;351.5343915343916;1147.058823529412;900020;1300030;1.6094379124341003;8.059848150716562;11.477101376749753;20.0;3.449825075517901;0.7855608079071766;0.70832455;inicial;TorchGCN_prioridad_desde_GA
45;ORDEN_361;PARTNUMBER_331;2.0;4;2026-07-16;60480.0;782.4349428864505;59697.56505711355;77.29716131655057;4;4;195.60873572161262;527.4745895230649;800020;800050;1.0986122886681098;6.663688024381048;11.010084545108258;20.0;4.360511348400239;0.2866351525569403;0.25442088;inicial;TorchGCN_prioridad_desde_GA
46;ORDEN_383;PARTNUMBER_349;18.0;4;2026-06-06;20160.0;1573.8655462184875;18586.134453781513;12.809226333493513;4;4;393.46638655462186;1058.5714285714287;900020;1300020;2.9444389791664403;7.3619251801353975;9.911505324129712;11.809226333493513;2.625336943657367;0.5152556940266437;0.5385575;inicial;TorchGCN_prioridad_desde_GA
47;ORDEN_387;PARTNUMBER_309;4.0;9;2026-08-20;96480.0;3163.809523809524;93316.19047619047;30.494882600842864;9;7;351.5343915343916;1147.058823529412;900020;1300030;1.6094379124341003;8.059848150716562;11.477101376749753;20.0;3.449825075517901;0.785990545767082;0.70832455;inicial;TorchGCN_prioridad_desde_GA
48;ORDEN_393;PARTNUMBER_358;60.0;2;2026-06-01;12960.0;659.8066795164838;12300.193320483517;19.642117005389036;2;2;329.9033397582419;569.5522388059701;900020;900030;4.110873864173311;6.493461330382805;9.469700127423375;18.64211700538904;3.027333503444169;0.24538031800601634;0.29333764;inicial;TorchGCN_prioridad_desde_GA
49;ORDEN_395;PARTNUMBER_359;18.0;7;2026-09-15;122400.0;581.4705882352941;121818.5294117647;210.50075872534143;7;6;83.0672268907563;180.0;900020;1300020;2.9444389791664403;6.3672786918651525;11.715057818961629;20.0;5.354228585833758;0.2122905027932961;0.18167408;inicial;TorchGCN_prioridad_desde_GA
50;ORDEN_401;PARTNUMBER_364;1.0;7;2026-06-06;20160.0;845.2756561085973;19314.7243438914;23.850207745022214;7;4;120.75366515837105;382.2307692307692;1000020;1000080;0.6931471805599453;6.740845141177376;9.911505324129712;20.0;3.2128661124683457;0.30726256983240224;0.5288907;inicial;TorchGCN_prioridad_desde_GA
51;ORDEN_427;PARTNUMBER_383;17.0;3;2026-08-26;102240.0;1870.3044214760719;100369.69557852393;54.66489777065847;3;1;623.4348071586905;1017.5830815709969;650020;1450030;2.8903717578961645;7.534391018264082;11.535088050471197;20.0;4.0193497466687615;0.5921787709497207;0.6211947;inicial;TorchGCN_prioridad_desde_GA
52;ORDEN_452;PARTNUMBER_170;3.0;9;2026-08-20;96480.0;2409.495798319328;94070.50420168067;40.04157221079063;9;7;267.7217553688142;864.7058823529412;900020;1300030;1.3862943611198906;7.787587730769828;11.477101376749753;20.0;3.7145855093585256;0.6978942844864633;0.76604116;inicial;TorchGCN_prioridad_desde_GA
53;ORDEN_453;PARTNUMBER_236;64.0;4;2027-02-23;288000.0;8615.075503885764;279384.92449611425;33.42977085576322;4;3;2153.768875971441;7773.899033297529;2000020;2000050;4.174387269895637;9.061384982015767;12.570719231334277;20.0;3.5389216219627095;0.9548775247099269;0.9732195;inicial;TorchGCN_prioridad_desde_GA
54;ORDEN_459;PARTNUMBER_402;40.0;5;2026-05-20;1440.0;2339.4520462061723;-899.4520462061723;0.6155287526988253;5;4;467.89040924123447;1665.3343991473487;1700020;2200020;3.713572066704308;7.75809937183387;7.273092595999522;-0.38447124730117466;0.47966230414249506;0.685431886549205;0.832729;inicial;TorchGCN_prioridad_desde_GA
55;ORDEN_466;PARTNUMBER_144;35.0;6;2026-09-02;109440.0;3168.7050482935297;106271.29495170647;34.53776805731341;6;5;528.1175080489215;2652.2344600582355;1400020;1800020;3.58351893845611;8.061393817840043;11.603140870241532;20.0;3.5705960198910103;0.7889987107864203;0.796921;inicial;TorchGCN_prioridad_desde_GA
56;ORDEN_470;PARTNUMBER_414;8.0;7;2026-07-07;50400.0;388.0;50012.0;129.89690721649484;7;5;55.42857142857143;188.0;900020;1300020;2.1972245773362196;5.963579343618446;10.827766295132466;20.0;4.8744100455664086;0.08594757198109153;0.15598378;inicial;TorchGCN_prioridad_desde_GA
57;ORDEN_479;PARTNUMBER_422;60.0;3;2026-06-30;43200.0;3080.381359989982;40119.61864001002;14.024237570422287;3;2;1026.7937866633274;1153.156146179402;900020;900040;4.110873864173311;8.03313326892771;10.673618922112436;13.024237570422287;2.7096647350686753;0.7756768371293511;0.7854103;inicial;TorchGCN_prioridad_desde_GA
58;ORDEN_485;PARTNUMBER_144;35.0;6;2026-08-01;77760.0;3168.7050482935297;74591.29495170647;24.539993093354262;6;5;528.1175080489215;2652.2344600582355;1400020;1800020;3.58351893845611;8.061393817840043;11.261395299133936;20.0;3.2402455801796997;0.7894284486463258;0.79872036;inicial;TorchGCN_prioridad_desde_GA
59;ORDEN_500;PARTNUMBER_438;5.0;3;2026-10-07;145440.0;319.25339366515834;145120.74660633484;455.56289419601734;3;2;106.41779788838612;129.23076923076923;900020;900040;1.791759469228055;5.769112537645469;11.887525785075237;20.0;6.123726465344547;0.06532015470562956;0.08668673;inicial;TorchGCN_prioridad_desde_GA
60;ORDEN_520;PARTNUMBER_455;60.0;6;2026-08-17;92160.0;7277.434596480101;84882.5654035199;12.66380326448764;6;5;1212.9057660800165;6266.846361185983;1500020;2000020;4.110873864173311;8.892671090112875;11.431292326565295;11.66380326448764;2.614750238851785;0.9338203695745595;0.86882734;inicial;TorchGCN_prioridad_desde_GA
61;ORDEN_521;PARTNUMBER_456;1.0;4;2026-11-30;200160.0;76.89839572192513;200083.10160427808;2602.9151599443676;4;4;19.224598930481285;54.54545454545454;1400020;1800020;0.6931471805599453;4.355405358594361;12.206877321691456;20.0;7.864771422131173;0.0111731843575419;0.045954213;inicial;TorchGCN_prioridad_desde_GA
62;ORDEN_526;PARTNUMBER_237;2.0;3;2026-07-22;66240.0;48.53945480631277;66191.46054519368;1364.663040908016;3;3;16.179818268770923;32.72045028142589;900020;900040;1.0986122886681098;3.9027694188798003;11.101054885563546;20.0;7.219395333938466;0.004727116458960034;0.069857866;inicial;TorchGCN_prioridad_desde_GA
63;ORDEN_529;PARTNUMBER_461;67.0;1;2029-12-01;1330560.0;111.66666666666667;1330448.3333333333;11915.462686567163;1;1;111.66666666666667;111.66666666666667;730020;730020;4.219507705176107;4.724433606814909;14.101111215774699;20.0;9.385676142096395;0.018908465835840136;0.0008985698;inicial;TorchGCN_prioridad_desde_GA
64;ORDEN_565;PARTNUMBER_494;35.0;7;2026-06-16;28800.0;2670.0;26130.0;10.786516853932584;7;5;381.42857142857144;1700.0;900020;1300020;3.58351893845611;7.890208213109961;10.268165387743457;9.786516853932584;2.4669562386641575;0.7344220025784272;0.7128148;inicial;TorchGCN_prioridad_desde_GA
65;ORDEN_591;PARTNUMBER_371;13.0;4;2026-07-04;48960.0;2519.546435815088;46440.453564184914;19.432068924802792;4;2;629.886608953772;1896.0740740740741;900010;900040;2.6390573296152584;7.832230996608321;10.798779341814225;18.432068924802792;3.0171056726597283;0.715513536742587;0.8320074;inicial;TorchGCN_prioridad_desde_GA
66;ORDEN_601;PARTNUMBER_134;6.0;7;2026-06-30;43200.0;2201.5265526309695;40998.47344736903;19.622747655881394;7;4;314.50379323299563;990.2604449267499;1100020;3100040;1.9459101490553132;7.697360413415745;10.673618922112436;18.622747655881394;3.026394721694166;0.665663944993554;0.6043763;inicial;TorchGCN_prioridad_desde_GA
67;ORDEN_627;PARTNUMBER_543;409.0;1;2026-06-18;31680.0;4090.0;27590.0;7.745721271393643;1;1;4090.0;4090.0;800020;800020;6.016157159698354;8.316544717929398;10.363472411086743;6.745721271393643;2.168564583216216;0.8457241082939407;0.84152853;inicial;TorchGCN_prioridad_desde_GA
68;ORDEN_629;PARTNUMBER_545;3.0;5;2028-11-23;946080.0;2088.5686314876643;943991.4313685123;452.98008681003586;5;3;417.71372629753284;737.7211394302848;900020;900060;1.3862943611198906;7.6447129272388;13.760083468047164;20.0;6.118053335427494;0.6368715083798883;0.6387065;inicial;TorchGCN_prioridad_desde_GA
69;ORDEN_640;PARTNUMBER_552;40.0;3;2026-08-06;82080.0;1466.6562190339969;80613.34378096601;55.96403501705494;3;3;488.8854063446656;811.5159694107062;900020;900040;3.713572066704308;7.291421998529941;11.315461843566249;20.0;4.042420104079535;0.48388483025354534;0.44330427;inicial;TorchGCN_prioridad_desde_GA
70;ORDEN_642;PARTNUMBER_144;35.0;6;2027-01-02;236160.0;3168.7050482935297;232991.29495170648;74.52886791314998;6;5;528.1175080489215;2652.2344600582355;1400020;1800020;3.58351893845611;8.061393817840043;12.372269054802624;20.0;4.324514939640936;0.7898581865062312;0.7926096;inicial;TorchGCN_prioridad_desde_GA
71;ORDEN_663;PARTNUMBER_573;8.0;8;2026-06-06;20160.0;3441.1577964519142;16718.842203548087;5.858493330583804;8;2;430.1447245564892;853.3333333333333;1100010;1100080;2.1972245773362196;8.14385382012854;9.911505324129712;4.858493330583805;1.9254877865051168;0.8126342930812205;0.7885332;inicial;TorchGCN_prioridad_desde_GA
72;ORDEN_669;PARTNUMBER_579;48.0;2;2026-05-24;5760.0;1125.3176470588235;4634.682352941177;5.118554761008657;2;2;562.6588235294117;900.0;800020;800030;3.8918202981106265;7.026708871099976;8.658866349732383;4.118554761008657;1.8113259184744104;0.39063171465406105;0.42535046;inicial;TorchGCN_prioridad_desde_GA
73;ORDEN_699;PARTNUMBER_200;35.0;6;2026-08-01;77760.0;4045.0284857995107;73714.97151420049;19.223597626811404;6;5;674.1714142999185;3610.9108387406873;1400020;1800020;3.58351893845611;8.305491058187215;11.261395299133936;18.223597626811404;3.006850121940346;0.8427159432746025;0.8452538;inicial;TorchGCN_prioridad_desde_GA
74;ORDEN_700;PARTNUMBER_606;35.0;6;2026-06-01;12960.0;3186.5004371008013;9773.499562899198;4.067157766277132;6;5;531.0834061834668;2711.2063194537423;1400020;1800020;3.58351893845611;8.066992326596335;9.469700127423375;3.067157766277132;1.6227800620416464;0.7950150408250967;0.79493237;inicial;TorchGCN_prioridad_desde_GA
75;ORDEN_713;PARTNUMBER_616;30.0;5;2026-06-30;43200.0;1611.3479017832403;41588.65209821676;26.80985276499978;5;2;322.2695803566481;556.2725864739286;1000020;1000060;3.4339872044851463;7.385446719745585;10.673618922112436;20.0;3.32539037391326;0.5225612376450365;0.50312614;inicial;TorchGCN_prioridad_desde_GA
76;ORDEN_722;PARTNUMBER_623;75.0;2;2026-08-04;79200.0;348.92857142857144;78851.07142857143;226.98055271238485;2;2;174.46428571428572;238.92857142857144;1700020;1700030;4.330733340286331;5.857729052023316;11.279744203985432;20.0;5.429260330195486;0.1431027073485174;0.07235497;inicial;TorchGCN_prioridad_desde_GA
77;ORDEN_765;PARTNUMBER_658;10.0;7;2026-08-15;92160.0;7080.332558095874;85079.66744190412;13.016337755861674;7;3;1011.4760797279821;2444.4444444444443;900010;900070;2.3978952727983707;8.865217383397974;11.431292326565295;12.016337755861674;2.640223631781945;0.9316716802750322;1.000534;inicial;TorchGCN_prioridad_desde_GA
78;ORDEN_806;PARTNUMBER_170;4.0;9;2026-08-20;96480.0;3163.809523809524;93316.19047619047;30.494882600842864;9;7;351.5343915343916;1147.058823529412;900020;1300030;1.6094379124341003;8.059848150716562;11.477101376749753;20.0;3.449825075517901;0.7864202836269876;0.7737125;inicial;TorchGCN_prioridad_desde_GA
79;ORDEN_836;PARTNUMBER_718;22.0;2;2026-06-13;27360.0;487.88597285067874;26872.11402714932;56.07867723709642;2;2;243.94298642533937;384.6153846153846;800020;800030;3.1354942159291497;6.192129277928733;10.216873920776164;20.0;4.04443061849808;0.17533304684142673;0.1931979;inicial;TorchGCN_prioridad_desde_GA
80;ORDEN_855;PARTNUMBER_735;120.0;2;2026-05-23;5760.0;2174.032372680616;3585.967627319384;2.649454567641893;2;2;1087.016186340308;1610.7382550335572;1000020;1000030;4.795790545596741;7.684798827403107;8.658866349732383;1.649454567641893;1.29457772290533;0.6574989256553503;0.661531;inicial;TorchGCN_prioridad_desde_GA
81;ORDEN_898;PARTNUMBER_766;40.0;3;2026-06-30;43200.0;2900.9896358963406;40299.01036410366;14.891469954063512;3;3;966.9965452987803;1538.675634929839;900020;900040;3.713572066704308;7.973151862071918;10.673618922112436;13.891469954063512;2.7657824843923224;0.7533304684142673;0.76947284;inicial;TorchGCN_prioridad_desde_GA
